Common Name,Systematic Name
YBR121C-A,YBR121C-A
MRPL36,YBR122C
TFC1,YBR123C
YBR124W,YBR124W
PTC4,YBR125C
TPS1,YBR126C
YBR126W-A,YBR126W-A
YBR126W-B,YBR126W-B
VMA2,YBR127C
ATG14,YBR128C
OPY1,YBR129C
SHE3,YBR130C
YBR131C-A,YBR131C-A
CCZ1,YBR131W
AGP2,YBR132C
HSL7,YBR133C
YBR134W,YBR134W
CKS1,YBR135W
MEC1,YBR136W
YBR137W,YBR137W
YBR138C,YBR138C
YBR139W,YBR139W
IRA1,YBR140C
BMT2,YBR141C
YBR141W-A,YBR141W-A
MAK5,YBR142W
SUP45,YBR143C
YBR144C,YBR144C
ADH5,YBR145W
MRPS9,YBR146W
RTC2,YBR147W
YSW1,YBR148W
ARA1,YBR149W
TBS1,YBR150C
APD1,YBR151W
SPP381,YBR152W
RIB7,YBR153W
RPB5,YBR154C
CNS1,YBR155W
SLI15,YBR156C
ICS2,YBR157C
AMN1,YBR158W
IFA38,YBR159W
CDC28,YBR160W
CSH1,YBR161W
TOS1,YBR162C
YSY6,YBR162W-A
EXO5,YBR163W
ARL1,YBR164C
UBS1,YBR165W
TYR1,YBR166C
POP7,YBR167C
PEX32,YBR168W
SSE2,YBR169C
NPL4,YBR170C
SEC66,YBR171W
SMY2,YBR172C
UMP1,YBR173C
YBR174C,YBR174C
SWD3,YBR175W
ECM31,YBR176W
EHT1,YBR177C
YBR178W,YBR178W
FZO1,YBR179C
DTR1,YBR180W
RPS6b,YBR181C
SMP1,YBR182C
YBR182C-A,YBR182C-A
YPC1,YBR183W
YBR184W,YBR184W
MBA1,YBR185C
PCH2,YBR186W
GDT1,YBR187W
NTC20,YBR188C
RPS9b,YBR189W
YBR190W,YBR190W
RPL21a,YBR191W
YBR191W-A,YBR191W-A
RIM2,YBR192W
MED8,YBR193C
AIM4,YBR194W
MSI1,YBR195C
PGI1,YBR196C
YBR196C-A,YBR196C-A
YBR196C-B,YBR196C-B
YBR197C,YBR197C
TAF5,YBR198C
KTR4,YBR199W
BEM1,YBR200W
YBR200W-A,YBR200W-A
YBR201C-A,YBR201C-A
DER1,YBR201W
MCM7,YBR202W
COS111,YBR203W
LDH1,YBR204C
KTR3,YBR205W
YBR206W,YBR206W
FTH1,YBR207W
"DUR1,2",YBR208C
YBR209W,YBR209W
ERV15,YBR210W
AME1,YBR211C
NGR1,YBR212W
MET8,YBR213W
SDS24,YBR214W
HPC2,YBR215W
YBP1,YBR216C
ATG12,YBR217W
PYC2,YBR218C
YBR219C,YBR219C
YBR220C,YBR220C
PDB1,YBR221C
YBR221W-A,YBR221W-A
PCS60,YBR222C
TDP1,YBR223C
YBR223W-A,YBR223W-A
YBR224W,YBR224W
YBR225W,YBR225W
YBR226C,YBR226C
MCX1,YBR227C
SLX1,YBR228W
ROT2,YBR229C
OM14,YBR230C
YBR230W-A,YBR230W-A
SWC5,YBR231C
YBR232C,YBR232C
PBP2,YBR233W
DAD3,YBR233W-A
ARC40,YBR234C
VHC1,YBR235W
ABD1,YBR236C
PRP5,YBR237W
YBR238C,YBR238C
ERT1,YBR239C
THI2,YBR240C
YBR241C,YBR241C
YBR242W,YBR242W
ALG7,YBR243C
GPX2,YBR244W
ISW1,YBR245C
RRT2,YBR246W
ENP1,YBR247C
HIS7,YBR248C
ARO4,YBR249C
SPO23,YBR250W
MRPS5,YBR251W
DUT1,YBR252W
SRB6,YBR253W
TRS20,YBR254C
YBR255C-A,YBR255C-A
MTC4,YBR255W
RIB5,YBR256C
POP4,YBR257W
SHG1,YBR258C
YBR259W,YBR259W
RGD1,YBR260C
TAE1,YBR261C
AIM5,YBR262C
SHM1,YBR263W
YPT10,YBR264C
TSC10,YBR265W
YBR266C,YBR266C
REI1,YBR267W
MRPL37,YBR268W
FMP21,YBR269C
BIT2,YBR270C
EFM2,YBR271W
HSM3,YBR272C
UBX7,YBR273C
CHK1,YBR274W
RIF1,YBR275C
PPS1,YBR276C
YBR277C,YBR277C
DPB3,YBR278W
PAF1,YBR279W
SAF1,YBR280C
DUG2,YBR281C
MRPL27,YBR282W
SSH1,YBR283C
YBR284W,YBR284W
YBR285W,YBR285W
APE3,YBR286W
ZSP1,YBR287W
APM3,YBR288C
SNF5,YBR289W
BSD2,YBR290W
CTP1,YBR291C
YBR292C,YBR292C
VBA2,YBR293W
SUL1,YBR294W
PCA1,YBR295W
PHO89,YBR296C
YBR296C-A,YBR296C-A
MAL33,YBR297W
MAL31,YBR298C
YBR298C-A,YBR298C-A
MAL32,YBR299W
YBR300C,YBR300C
PAU24,YBR301W
COS2,YBR302C
RER1,YCL001W
YCL001W-A,YCL001W-A
YCL001W-B,YCL001W-B
YCL002C,YCL002C
PGS1,YCL004W
LDB16,YCL005W
VMA9,YCL005W-A
CWH36,YCL007C
STP22,YCL008C
ILV6,YCL009C
SGF29,YCL010C
GBP2,YCL011C
YCL012C,YCL012C
BUD3,YCL014W
DCC1,YCL016C
NFS1,YCL017C
LEU2,YCL018W
YCL019W,YCL019W
YCL020W,YCL020W
YCL021W-A,YCL021W-A
YCL022C,YCL022C
YCL023C,YCL023C
KCC4,YCL024W
AGP1,YCL025C
FRM2,YCL026C-A
HBN1,YCL026C-B
FUS1,YCL027W
RNQ1,YCL028W
BIK1,YCL029C
HIS4,YCL030C
RRP7,YCL031C
STE50,YCL032W
MXR2,YCL033C
LSB5,YCL034W
GRX1,YCL035C
GFD2,YCL036W
SRO9,YCL037C
ATG22,YCL038C
GID7,YCL039W
GLK1,YCL040W
YCL041C,YCL041C
YCL042W,YCL042W
PDI1,YCL043C
MGR1,YCL044C
EMC1,YCL045C
YCL046W,YCL046W
POF1,YCL047C
SPS22,YCL048W
YCL048W-A,YCL048W-A
YCL049C,YCL049C
APA1,YCL050C
LRE1,YCL051W
PBN1,YCL052C
SPB1,YCL054W
YCL054W-A,YCL054W-A
KAR4,YCL055W
PEX34,YCL056C
MOS1,YCL057C-A
PRD1,YCL057W
FYV5,YCL058C
ADF1,YCL058W-A
KRR1,YCL059C
MRC1,YCL061C
VAC17,YCL063W
CHA1,YCL064C
YCL065W,YCL065W
HMLALPHA1,YCL066W
HMLALPHA2,YCL067C
YCL068C,YCL068C
VBA3,YCL069W
GEX1,YCL073C
YCL074W,YCL074W
YCL075W,YCL075W
YCL076W,YCL076W
YCR001W,YCR001W
CDC10,YCR002C
MRPL32,YCR003W
YCP4,YCR004C
CIT2,YCR005C
YCR006C,YCR006C
YCR007C,YCR007C
SAT4,YCR008W
RVS161,YCR009C
ADY2,YCR010C
ADP1,YCR011C
PGK1,YCR012W
YCR013C,YCR013C
POL4,YCR014C
YCR015C,YCR015C
YCR016W,YCR016W
CWH43,YCR017C
SRD1,YCR018C
YCR018C-A,YCR018C-A
MAK32,YCR019W
PET18,YCR020C
MAK31,YCR020C-A
HTL1,YCR020W-B
HSP30,YCR021C
YCR022C,YCR022C
YCR023C,YCR023C
SLM5,YCR024C
PMP1,YCR024C-A
YCR024C-B,YCR024C-B
YCR025C,YCR025C
NPP1,YCR026C
RHB1,YCR027C
FEN2,YCR028C
RIM1,YCR028C-A
SYP1,YCR030C
RPS14a,YCR031C
BPH1,YCR032W
SNT1,YCR033W
FEN1,YCR034W
RRP43,YCR035C
RBK1,YCR036W
PHO87,YCR037C
BUD5,YCR038C
YCR038W-A,YCR038W-A
MATALPHA2,YCR039C
MATALPHA1,YCR040W
YCR041W,YCR041W
TAF2,YCR042C
YCR043C,YCR043C
PER1,YCR044C
RRT12,YCR045C
YCR045W-A,YCR045W-A
IMG1,YCR046C
BUD23,YCR047C
YCR047W-A,YCR047W-A
ARE1,YCR048W
YCR049C,YCR049C
YCR050C,YCR050C
YCR051W,YCR051W
RSC6,YCR052W
THR4,YCR053W
CTR86,YCR054C
PWP2,YCR057C
YIH1,YCR059C
TAH1,YCR060W
YCR061W,YCR061W
BUD31,YCR063W
YCR064C,YCR064C
HCM1,YCR065W
RAD18,YCR066W
SED4,YCR067C
ATG15,YCR068W
CPR4,YCR069W
IMG2,YCR071C
RSA4,YCR072C
SSK22,YCR073C
SOL2,YCR073W-A
ERS1,YCR075C
YCR075W-A,YCR075W-A
FUB1,YCR076C
PAT1,YCR077C
PTC6,YCR079W
YCR081C-A,YCR081C-A
SRB8,YCR081W
AHC2,YCR082W
TRX3,YCR083W
TUP1,YCR084C
YCR085W,YCR085W
CSM1,YCR086W
YCR087C-A,YCR087C-A
YCR087W,YCR087W
ABP1,YCR088W
FIG2,YCR089W
YCR090C,YCR090C
KIN82,YCR091W
MSH3,YCR092C
CDC39,YCR093W
CDC50,YCR094W
OCA4,YCR095C
YCR095W-A,YCR095W-A
HMRA2,YCR096C
HMRA1,YCR097W
YCR097W-A,YCR097W-A
GIT1,YCR098C
YCR099C,YCR099C
YCR100C,YCR100C
YCR101C,YCR101C
YCR102C,YCR102C
YCR102W-A,YCR102W-A
PAU3,YCR104W
ADH7,YCR105W
RDS1,YCR106W
AAD3,YCR107W
YCR108C,YCR108C
RMD1,YDL001W
NHP10,YDL002C
MCD1,YDL003W
ATP16,YDL004W
MED2,YDL005C
PTC1,YDL006W
YDL007C-A,YDL007C-A
RPT2,YDL007W
APC11,YDL008W
YDL009C,YDL009C
GRX6,YDL010W
YDL011C,YDL011C
YDL012C,YDL012C
SLX5,YDL013W
NOP1,YDL014W
TSC13,YDL015C
YDL016C,YDL016C
CDC7,YDL017W
ERP3,YDL018C
OSH2,YDL019C
RPN4,YDL020C
GPM2,YDL021W
YDL022C-A,YDL022C-A
GPD1,YDL022W
YDL023C,YDL023C
DIA3,YDL024C
RTK1,YDL025C
YDL025W-A,YDL025W-A
YDL026W,YDL026W
YDL027C,YDL027C
MPS1,YDL028C
ARP2,YDL029W
PRP9,YDL030W
DBP10,YDL031W
YDL032W,YDL032W
SLM3,YDL033C
YDL034W,YDL034W
GPR1,YDL035C
PUS9,YDL036C
BSC1,YDL037C
PRM7,YDL039C
NAT1,YDL040C
YDL041W,YDL041W
SIR2,YDL042C
PRP11,YDL043C
MTF2,YDL044C
FAD1,YDL045C
MRP10,YDL045W-A
NPC2,YDL046W
SIT4,YDL047W
STP4,YDL048C
KNH1,YDL049C
YDL050C,YDL050C
LHP1,YDL051W
SLC1,YDL052C
PBP4,YDL053C
MCH1,YDL054C
PSA1,YDL055C
MBP1,YDL056W
YDL057W,YDL057W
USO1,YDL058W
RAD59,YDL059C
TSR1,YDL060W
RPS29b,YDL061C
YDL062W,YDL062W
SYO1,YDL063C
UBC9,YDL064W
PEX19,YDL065C
IDP1,YDL066W
COX9,YDL067C
YDL068W,YDL068W
CBS1,YDL069C
BDF2,YDL070W
YDL071C,YDL071C
YET3,YDL072C
YDL073W,YDL073W
BRE1,YDL074C
RPL31a,YDL075W
RXT3,YDL076C
VAM6,YDL077C
MDH3,YDL078C
MRK1,YDL079C
THI3,YDL080C
RPP1a,YDL081C
RPL13a,YDL082W
RPS16b,YDL083C
SUB2,YDL084W
YDL085C-A,YDL085C-A
NDE2,YDL085W
YDL086C-A,YDL086C-A
YDL086W,YDL086W
LUC7,YDL087C
ASM4,YDL088C
NUR1,YDL089W
RAM1,YDL090C
UBX3,YDL091C
SRP14,YDL092W
PMT5,YDL093W
YDL094C,YDL094C
PMT1,YDL095W
YDL096C,YDL096C
RPN6,YDL097C
SNU23,YDL098C
BUG1,YDL099W
GET3,YDL100C
DUN1,YDL101C
POL3,YDL102W
QRI1,YDL103C
QRI7,YDL104C
NSE4,YDL105W
PHO2,YDL106C
MSS2,YDL107W
KIN28,YDL108W
YDL109C,YDL109C
TMA17,YDL110C
RRP42,YDL111C
TRM3,YDL112W
ATG20,YDL113C
YDL114W,YDL114W
YDL114W-A,YDL114W-A
IWR1,YDL115C
NUP84,YDL116W
CYK3,YDL117W
YDL118W,YDL118W
YDL119C,YDL119C
YFH1,YDL120W
YDL121C,YDL121C
UBP1,YDL122W
SNA4,YDL123W
YDL124W,YDL124W
HNT1,YDL125C
CDC48,YDL126C
PCL2,YDL127W
VCX1,YDL128W
YDL129W,YDL129W
RPP1b,YDL130W
STF1,YDL130W-A
LYS21,YDL131W
CDC53,YDL132W
RPL41b,YDL133C-A
SRF1,YDL133W
PPH21,YDL134C
RDI1,YDL135C
RPL35b,YDL136W
ARF2,YDL137W
RGT2,YDL138W
SCM3,YDL139C
RPO21,YDL140C
BPL1,YDL141W
CRD1,YDL142C
CCT4,YDL143W
YDL144C,YDL144C
COP1,YDL145C
LDB17,YDL146W
RPN5,YDL147W
NOP14,YDL148C
ATG9,YDL149W
RPC53,YDL150W
BUD30,YDL151C
YDL152W,YDL152W
SAS10,YDL153C
MSH5,YDL154W
CLB3,YDL155W
CMR1,YDL156W
YDL157C,YDL157C
YDL158C,YDL158C
YDL159C-B,YDL159C-B
STE7,YDL159W
YDL159W-A,YDL159W-A
DHH1,YDL160C
MHF2,YDL160C-A
ENT1,YDL161W
YDL162C,YDL162C
YDL163W,YDL163W
CDC9,YDL164C
CDC36,YDL165W
FAP7,YDL166C
NRP1,YDL167C
SFA1,YDL168W
UGX2,YDL169C
UGA3,YDL170W
GLT1,YDL171C
YDL172C,YDL172C
PAR32,YDL173W
DLD1,YDL174C
AIR2,YDL175C
YDL176W,YDL176W
YDL177C,YDL177C
DLD2,YDL178W
PCL9,YDL179W
YDL180W,YDL180W
INH1,YDL181W
LYS20,YDL182W
YDL183C,YDL183C
RPL41a,YDL184C
YDL185C-A,YDL185C-A
VMA1,YDL185W
YDL186W,YDL186W
YDL187C,YDL187C
PPH22,YDL188C
RBS1,YDL189W
UFD2,YDL190C
RPL35a,YDL191W
ARF1,YDL192W
NUS1,YDL193W
SNF3,YDL194W
SEC31,YDL195W
YDL196W,YDL196W
ASF2,YDL197C
GGC1,YDL198C
YDL199C,YDL199C
MGT1,YDL200C
TRM8,YDL201W
MRPL11,YDL202W
ACK1,YDL203C
RTN2,YDL204W
HEM3,YDL205C
YDL206W,YDL206W
GLE1,YDL207W
NHP2,YDL208W
CWC2,YDL209C
UGA4,YDL210W
YDL211C,YDL211C
SHR3,YDL212W
NOP6,YDL213C
PRR2,YDL214C
GDH2,YDL215C
RRI1,YDL216C
TIM22,YDL217C
YDL218W,YDL218W
DTD1,YDL219W
CDC13,YDL220C
YDL221W,YDL221W
FMP45,YDL222C
HBT1,YDL223C
WHI4,YDL224C
SHS1,YDL225W
GCS1,YDL226C
Ho,YDL227C
YDL228C,YDL228C
SSB1,YDL229W
PTP1,YDL230W
BRE4,YDL231C
OST4,YDL232W
MFG1,YDL233W
GYP7,YDL234C
YPD1,YDL235C
PHO13,YDL236W
AIM6,YDL237W
GUD1,YDL238C
ADY3,YDL239C
YDL240C-A,YDL240C-A
LRG1,YDL240W
YDL241W,YDL241W
YDL242W,YDL242W
AAD4,YDL243C
THI13,YDL244W
HXT15,YDL245C
SOR2,YDL246C
MPH2,YDL247W
YDL247W-A,YDL247W-A
COS7,YDL248W
NTH1,YDR001C
YRB1,YDR002W
RCR2,YDR003W
YDR003W-A,YDR003W-A
RAD57,YDR004W
MAF1,YDR005C
SOK1,YDR006C
TRP1,YDR007W
YDR008C,YDR008C
GAL3,YDR009W
YDR010C,YDR010C
SNQ2,YDR011W
RPL4b,YDR012W
PSF1,YDR013W
RAD61,YDR014W
HED1,YDR014W-A
YDR015C,YDR015C
DAD1,YDR016C
KCS1,YDR017C
YDR018C,YDR018C
GCV1,YDR019C
DAS2,YDR020C
FAL1,YDR021W
ATG31,YDR022C
SES1,YDR023W
FYV1,YDR024W
RPS11a,YDR025W
NSI1,YDR026C
VPS54,YDR027C
REG1,YDR028C
YDR029W,YDR029W
RAD28,YDR030C
MIC14,YDR031W
PST2,YDR032C
MRH1,YDR033W
LYS14,YDR034C
YDR034C-A,YDR034C-A
YDR034C-C,YDR034C-C
YDR034C-D,YDR034C-D
YDR034W-B,YDR034W-B
ARO3,YDR035W
EHD3,YDR036C
KRS1,YDR037W
ENA5,YDR038C
ENA2,YDR039C
ENA1,YDR040C
RSM10,YDR041W
YDR042C,YDR042C
NRG1,YDR043C
HEM13,YDR044W
RPC11,YDR045C
BAP3,YDR046C
HEM12,YDR047W
YDR048C,YDR048C
VMS1,YDR049W
TPI1,YDR050C
DET1,YDR051C
DBF4,YDR052C
YDR053W,YDR053W
CDC34,YDR054C
PST1,YDR055W
YDR056C,YDR056C
YOS9,YDR057W
TGL2,YDR058C
UBC5,YDR059C
MAK21,YDR060W
YDR061W,YDR061W
LCB2,YDR062W
AIM7,YDR063W
RPS13,YDR064W
RRG1,YDR065W
RTR2,YDR066C
OCA6,YDR067C
DOS2,YDR068W
DOA4,YDR069C
FMP16,YDR070C
PAA1,YDR071C
IPT1,YDR072C
SNF11,YDR073W
TPS2,YDR074W
PPH3,YDR075W
RAD55,YDR076W
SED1,YDR077W
SHU2,YDR078C
TFB5,YDR079C-A
PET100,YDR079W
VPS41,YDR080W
PDC2,YDR081C
STN1,YDR082W
RRP8,YDR083W
TVP23,YDR084C
AFR1,YDR085C
SSS1,YDR086C
RRP1,YDR087C
SLU7,YDR088C
YDR089W,YDR089W
YDR090C,YDR090C
RLI1,YDR091C
UBC13,YDR092W
DNF2,YDR093W
YDR094W,YDR094W
YDR095C,YDR095C
GIS1,YDR096W
MSH6,YDR097C
GRX3,YDR098C
YDR098C-A,YDR098C-A
YDR098C-B,YDR098C-B
BMH2,YDR099W
TVP15,YDR100W
ARX1,YDR101C
YDR102C,YDR102C
STE5,YDR103W
SPO71,YDR104C
TMS1,YDR105C
ARP10,YDR106W
TMN2,YDR107C
TRS85,YDR108W
YDR109C,YDR109C
FOB1,YDR110W
ALT2,YDR111C
YDR112W,YDR112W
PDS1,YDR113C
YDR114C,YDR114C
YDR115W,YDR115W
MRPL1,YDR116C
TMA64,YDR117C
APC4,YDR118W
YDR118W-A,YDR118W-A
VBA4,YDR119W
COX26,YDR119W-A
TRM1,YDR120C
DPB4,YDR121W
KIN1,YDR122W
INO2,YDR123C
YDR124W,YDR124W
ECM18,YDR125C
SWF1,YDR126W
ARO1,YDR127W
MTC5,YDR128W
SAC6,YDR129C
FIN1,YDR130C
YDR131C,YDR131C
YDR132C,YDR132C
YDR133C,YDR133C
YCF1,YDR135C
VPS61,YDR136C
RGP1,YDR137W
HPR1,YDR138W
RUB1,YDR139C
MTQ2,YDR140W
DOP1,YDR141C
PEX7,YDR142C
SAN1,YDR143C
MKC7,YDR144C
TAF12,YDR145W
SWI5,YDR146C
EKI1,YDR147W
KGD2,YDR148C
YDR149C,YDR149C
NUM1,YDR150W
CTH1,YDR151C
GIR2,YDR152W
ENT5,YDR153C
YDR154C,YDR154C
CPR1,YDR155C
RPA14,YDR156W
YDR157W,YDR157W
HOM2,YDR158W
SAC3,YDR159W
SSY1,YDR160W
YDR161W,YDR161W
NBP2,YDR162C
